S. No.,UWTP ID,Lat Long,State ,Design capacity (MLD),Operational capacity (MLD),BOD_P1(mg/L),BOD_P2(mg/L),BOD_P3(mg/L),COD_P1(mg/L),COD_P2(mg/L),COD_P3(mg/L),TP_P1(mg/L),TP_P2(mg/L),TP_P3(mg/L),TN_P1(mg/L),TN_P2(mg/L),TN_p3(mg/L),TSS_P1(mg/L),TSS_P2(mg/L),TSS_P3(mg/L),FC_P1(MPN/100ml),FC_P2(MPN/100ml),FC_P3(MPN/100ml),BOD SCORE (11 mg/L),COD SCORE    (55 mg/L),TP SCORE        (1.1 mg/L),TN SCORE           (11 mg/L),TSS SCORE   (22 mg/L),FC SCORE    (253 MPN/100 mL),TOTAL SCORE  (MAX. 60),Latitude,Longitude
565,UP-801109-001,"26.79375, 82.2113033",Uttar Pradesh,12,12,5,8.2,12,28,48,8,0.05,0.05,0.22,1,4.2,1,5,5,19,2200,1600,7,0,10,10,10,10,10,50,26.79375,82.2113033
566,UP-801109-002,"26.7934801, 82.2093659",Uttar Pradesh,6,6,6,8,10,21,50,6,0.05,0.05,0.18,0.1,4.6,1,5,5,16,22000,540,4,10,10,10,10,10,10,60,26.7934801,82.2093659
567,UP-800630-001,"29.9371906, 77.5510098",Uttar Pradesh,38,38,4,4,7,24,23,20,0.05,0.05,1.1,0.1,3.78,5.3,5,5,8,28000,9200,25,10,10,10,10,10,10,60,29.9371906,77.5510098
568,UP-801235-004,"25.3454809, 83.0471597",Uttar Pradesh,140,0,4,2.6,7,22,16,20,0.05,0.05,1.1,0.1,1.36,5.3,5,5,8,54000,920,30,10,10,10,10,10,10,60,25.3454809,83.0471597
569,TS-802918-019,"17.5057415, 78.3161882",Telangana,30,20,44,18,17,92,60,56,1.8,0.4,0.7,24,39,18,27,40,6,130,94,85,0,0,10,0,10,10,30,17.5057415,78.3161882
570,TN-803339-021,"13.014714, 80.250255",Tamil Nadu,0.6,0.59,32,18,13,76,52,52,0.9,0.2,0.83,32,31,55,7,25,4.8,210,74,70,0,10,10,0,10,10,40,13.014714,80.250255
571,KL-803267-005,"11.2778817, 75.8400816",Kerala,2,0,62,24,2,132,88,20,1.1,0.2,1.7,38,29,13.5,49,20,5.7,350,110,2,10,10,0,0,10,10,40,11.2778817,75.8400816
572,KL-803267-002,"11.2778962, 75.840099",Kerala,2.1,0,67,48,20,144,152,70,2.5,0.5,5.7,46,28,27.8,51,21,21.7,140,210,2,0,0,0,0,10,10,20,11.2778962,75.840099
573,KL-803312-002,"8.519366, 76.9212713",Kerala,5,3,63,18,9,140,52,49,1.1,0.3,1.4,41,47,39,131,25,1,430,79,70,10,10,0,0,10,10,40,8.519366,76.9212713
574,KL-803267-003,"11.2740366, 75.8348614",Kerala,1,0,100,20,10,220,80,40,1.5,0.7,4.1,45,32,11.8,80,10,4.5,280,94,2,10,10,0,0,10,10,40,11.2740366,75.8348614
575,KL-803287-001,"10.148914, 76.2317982",Kerala,0.15,0.15,76,18,4.2,164,76,20.2,4,0.5,0.34,42,42,19.2,63,18,1,280,79,79,10,10,10,0,10,10,50,10.148914,76.2317982
576,TS-802918-027,"17.336184, 78.4485332",Telangana,41.5,41.5,23,12,15,52,40,52,1.99,0.4,0.8,24,28,24,26,12,72,280,84,24,0,10,10,0,0,10,30,17.336184,78.4485332
577,TS-802918-022,"17.4377706, 78.4777229",Telangana,30,30,64,12,37,140,72,120,1.82,0.4,0.8,52,33,29,18,15,15,280,84,120,0,0,10,0,10,10,30,17.4377706,78.4777229
578,KL-803280-001,"10.5222628, 76.216588",Kerala,0.36,0.225,48,12,3.8,100,68,16.1,2.2,0.7,0.34,57,32,19.2,32,10,1,170,84,79,10,10,10,0,10,10,50,10.5222628,76.216588
579,KL-803258-001,"12.0398059, 75.3558497",Kerala,0.5,0.5,60,24,8.2,136,86,40.08,1.4,0.9,0.8,58,46,3.28,48,22,8,210,79,8,10,10,10,10,10,10,60,12.0398059,75.3558497
580,TN-803339-016,"12.9564401, 80.2354424",Tamil Nadu,60,40,16,54,3,56,192,11.9,2.5,0.5,0.13,32,42,27.4,10,32,1,220,120,210,10,10,10,0,10,10,50,12.9564401,80.2354424
581,WB-801686-002,"23.1742463, 88.5532144",West Bengal,4,2.7,13,16,15.6,29,38,67.2,1.4,4,0.6,33.9,11,11.92,12,16,19,350,12956,10,0,0,10,0,10,10,30,23.1742463,88.5532144
582,OD-801844-001,"20.471894, 85.849399",Odisha,36,27,16,21,12.8,39,48,33,0.52,8.6,1.7,16.3,14,9.8,15,17,3,46,11,8,0,10,0,10,10,10,40,20.471894,85.849399
583,OD-801844-002,"20.4407294, 85.9382052",Odisha,16,16,17,25,14.4,38,58,40.8,0.67,1.2,0.49,14.1,7.4,15.6,17,15,4,49,7.8,9,0,10,10,0,10,10,40,20.4407294,85.9382052
584,KA-803162-049,"12.9051063, 77.6101599",Karnataka,4,4,16,12,7.4,48.48,66,48.05,1,1.4,1.11,39.02,44.8,5.7,5,23,25,20,2,2,10,10,0,10,0,10,40,12.9051063,77.6101599
585,KA-803162-039,"12.8959914, 77.5753714",Karnataka,5,0.6,4,3.8,2,12.12,22,12.01,1,0.37,0.7,33.45,6.8,5,5,3,5,1,2,7,10,10,10,10,10,10,60,12.8959914,77.5753714
586,KA-803238-001,"12.7020609, 77.2554224",Karnataka,7.56,7.56,20,4.8,5.4,56,20.12,25.13,4,2.1,4.4,5,7.28,1.64,21,15,10,280,2,8,10,10,0,10,10,10,50,12.7020609,77.2554224
587,KA-803153-001,"13.7664945, 76.9043414",Karnataka,10.6,2.3,9,3.9,6.6,52,16.1,32.06,0.05,1,0.52,0.1,8.18,3.5,5,5,9,150,2,2,10,10,10,10,10,10,60,13.7664945,76.9043414
588,TS-802904-002,"18.6780277777777, 78.11625",Telangana,15,3,65,20,10,156,58,40,0.7,0.9,2.1,65,28,18.9,36,32,15.9,210,84,2,10,10,0,0,10,10,40,18.67802778,78.11625
589,TS-802904-001,"18.701484, 78.096440",Telangana,31.5,7,50,24,5,120,60,30,1.3,0.4,1.9,52,24,15.1,30,20,10.7,430,79,2,10,10,0,0,10,10,40,18.701484,78.09644
590,TN-803505-001,"11.5056326, 77.2334418",Tamil Nadu,4.08,0.8,26,2,8.6,52,12.4,36.6,2.1,5.7,1,38,42,8.2,6,5.6,7,150,170,10,10,10,10,10,10,10,60,11.5056326,77.2334418
591,TS-802918-020,"17.452062, 78.304539",Telangana,4.5,4,29,30,18,68,148,64,1.56,0.8,0.7,37,42,24,20,32,6,350,110,25,0,0,10,0,10,10,30,17.452062,78.304539
592,TS-802918-018,"17.4237168, 78.4460775",Telangana,0.5,0.5,40,24,15,96,112,48,0.11,0.6,0.5,60,41,21,28,23,8,350,94,46,0,10,10,0,10,10,40,17.4237168,78.4460775
593,TN-803542-001,"11.3381067, 77.745365",Tamil Nadu,50.55,26.847,48,2,7.6,116,8.3,38.6,1.35,4.5,1,26,32,8.6,9,2.8,6,350,110,10,10,10,10,10,10,10,60,11.3381067,77.745365
594,TN-803463-004,"11.661386, 78.1644594",Tamil Nadu,6,5,82,11,9,180,37,36,2.3,4.5,0.74,32,52,44,47,4.1,3.2,110,220,110,10,10,10,0,10,10,50,11.661386,78.1644594
595,KA-803194-005,"12.3383833, 76.6177165",Karnataka,8,8,4.4,2,3.8,26,4.1,16.75,0.16,1.9,10.19,8.8,29,14.8,3,1,5,9,140,7,10,10,0,0,10,10,40,12.3383833,76.6177165
596,KA-803173-002,"13.3347948, 76.2576105",Karnataka,12,0,8.5,12.5,20.5,37,52.31,76.08,0.58,1,1,10.8,15.11,9.3,9,35,46,80,2,2,0,0,10,10,0,10,30,13.3347948,76.2576105
597,MH-802663-002,"20.8084395, 76.6732152",Maharashtra,2,1,18,4.6,2.6,56.6,17,8,1.9,0.74,9.35,7.8,5.3,1.03,37,29,18,2,79,63,10,10,0,10,10,10,50,20.8084395,76.6732152
598,MH-802663-001,"20.7929839, 76.7042491",Maharashtra,7,4.5,21,5.8,3.9,63.9,26,12,2.8,0.92,13.76,7.4,6.4,1,33,17,15,348,220,1.8,10,10,0,10,10,10,50,20.7929839,76.7042491
599,PB-800196-003,"30.9649549, 75.8278905",Punjab,111,111,12,17,38,60,57.6,124.8,0.05,2.2,2.8,0.1,37.33,25.42,5,17,22,220,2,12,0,0,0,0,10,10,20,30.9649549,75.8278905
600,PB-800199-002,"30.8191385, 75.4828239",Punjab,12,0,5,6,18,7.6,20,64.8,2.4,0.1,1.8,33.8,6.2,18.67,17.8,8,8,2000,426,1.8,0,0,0,0,10,10,20,30.8191385,75.4828239
601,PB-800204-001,"31.1031288, 74.9689375",Punjab,4,4,32,8,2,107,20,8.8,3.2,0.1,0.28,34.4,12.4,1,8.4,1,5,1700,48,35,10,10,10,10,10,10,60,31.1031288,74.9689375
602,PB-800281-001,"30.3832124, 75.5094831",Punjab,20,0,2,30,26,12,100,96,0.05,0.1,3.2,0.1,9.8,23.07,5,6,20,4.5,428,10,0,0,0,0,10,10,20,30.3832124,75.5094831
603,PB-800181-001,"31.1399603, 76.1145029",Punjab,6,0,5,6,30,15,20,129.6,4.1,0.1,2.3,5.2,5.2,20.32,28.4,3,18,1600,27,1.8,0,0,0,0,10,10,20,31.1399603,76.1145029
604,MH-802811-018,"18.6312887, 73.7578302",Maharashtra,4,4,19,12,3,17.86,40,7,1,0.1,1,7.84,6.2,6.2,8,3,3,17,40,2,10,10,10,10,10,10,60,18.6312887,73.7578302
605,MH-802786-007,"19.2960381, 72.8437996",Maharashtra,8,8,3,6.5,5,10.1,20,39.6,3.9,0.1,1.73,7.1,0.3,4.6,4,18,121,37,348,2,10,10,0,10,0,10,40,19.2960381,72.8437996
606,PB-800161-001,"31.1258, 75.4645",Punjab,6,0,15,42,16,38,140,43.2,4.8,0.4,0.8,14.2,15.6,11.3,18.3,8,8,1700,32,4,0,10,10,0,10,10,40,31.1258,75.4645
607,PB-800169-001,"31.4559373, 75.493566",Punjab,4,3.43,55,47,38,146,158.4,122.4,5.2,0.64,2.8,49.4,17.6,22.8,23.2,10,12,2000,177,9,0,0,0,0,10,10,20,31.4559373,75.493566
608,PB-800176-003,"31.5022353, 75.8694475",Punjab,30,0,4,42,26,23,140,86.4,0.05,0.7,2.6,0.1,18.6,16.14,5,42,52,110000,542,24,0,0,0,0,0,10,10,31.5022353,75.8694475
609,PB-800144-001,"32.2568646, 75.6015754",Punjab,27,0,2,24,7.1,12,80,20,0.05,0.4,2.6,0.1,17.2,14.6,5,6,2,1.8,212,25,10,10,0,0,10,10,40,32.2568646,75.6015754
610,PB-800155-001,"31.3841401, 75.3709844",Punjab,25,25,11.26,54,28,90,180,110,5.0179,1.6,0.9,8.19,26.6,7.8,14,22,10,540,345,55,0,0,10,10,10,10,40,31.3841401,75.3709844
611,PB-800155-003,"31.3140383, 75.3279171",Punjab,2,1.6,5,48,8,25,160,20,0.05,1.2,0.9,1,22.6,4.2,5,18,2,350,542,20,10,10,10,10,10,10,60,31.3140383,75.3279171
612,PB-800160-001,"31.074949, 75.327769",Punjab,3,1.5,32,30,18,107,100,54,3.2,0.65,0.8,20.2,17.4,19.15,8.4,18,22,1700,84,10,0,10,10,0,10,10,40,31.074949,75.327769
613,PB-800252-002,"31.6546388888888, 74.7831388888888",Punjab,95,95,19,47,22,100,158.4,60,0.05,0.7,0.8,0.1,22.6,7.6,5,24,31,14000,58,34,0,0,10,10,0,10,30,31.65463889,74.78313889
614,PB-800252-003,"31.5680524, 74.8992086",Punjab,27.5,20,8,48,24,40,158.4,60,0.05,0.5,1.2,0.1,17.6,14.8,5,0.6,2,23,184,25,0,0,0,0,10,10,20,31.5680524,74.8992086
615,PB-800276-001,"30.120625, 75.7963083",Punjab,8,7,7,36,12,38,123.2,54,0.05,0.9,1.6,1,18.6,4.8,5,18,18,1.8,109,30,0,10,0,10,10,10,40,30.120625,75.7963083
616,PB-800277-001,"30.056399, 75.990044",Punjab,3,2.4,6,42,12.5,29,140.8,52,0.05,0.9,1.26,0.1,19.4,1,5,16,18,1.8,148,50,0,10,0,10,10,10,40,30.056399,75.990044
617,PB-800252-001,"31.6551383, 74.7833017",Punjab,95,95,8,63,8,40,211.2,20,0.05,1.6,0.5,0.1,28.2,4.4,5,68,2,3500,278,16,10,10,10,10,10,10,60,31.6551383,74.7833017
618,PB-800216-001,"30.2085282, 74.6284598",Punjab,7,7,8,30,40,40,100,134.4,0.05,0.6,3.4,1,21.2,21.46,5,64,58,1.8,542,1.8,0,0,0,0,0,10,10,30.2085282,74.6284598
619,RJ-800453-001,"29.3096098, 73.8856049",Rajasthan,2.5,1.5,18.63,10,17.2,56.41,190,50,10.57,1,0.9,60.36,2,5.2,5.17,6,38,315,24,45,0,10,10,10,0,10,40,29.3096098,73.8856049
620,RJ-800506-003,"26.7543575, 77.0556356",Rajasthan,5,4,16.27,9,11,63.58,40,30,5.21,0.95,0.2,58.2,2,2.8,7.02,6,12,82,14,10,10,10,10,10,10,10,60,26.7543575,77.0556356
621,RJ-800453-002,"29.328757, 73.8912038",Rajasthan,2.5,1.7,16.1,4,22.4,50.48,40,70,12.4,0.85,0.8,55.12,1,5.6,5.58,3,56,289,21,55,0,0,10,10,0,10,30,29.328757,73.8912038
622,RJ-800484-001,"27.8504591, 75.2521531",Rajasthan,3,2.65,15.7,4,25,67.3,40,80,3.7,0.65,0.6,50.5,1,3.4,8.31,2,18,42,12,20,0,0,10,10,10,10,40,27.8504591,75.2521531
623,RJ-800455-002,"29.596004, 74.2990474",Rajasthan,5,5,17.91,6,19.4,64.97,40,60,3.8,0.52,0.44,26.1,1,4.6,11.84,6,45,340.58,21,45,0,0,10,10,0,10,30,29.596004,74.2990474
624,RJ-800506-002,"26.7351815, 77.0557434",Rajasthan,0.75,0.38,16.02,6,15,61.02,40,40,4.02,0.63,0.34,59.33,2,3.8,7.1,4,18,38,17,16,0,10,10,10,10,10,50,26.7351815,77.0557434
625,KA-803090-001,"14.8029293, 74.1287169",Karnataka,1.5,0,6,4.4,7.12,34,20.12,28,0.05,2.74,0.1,0.1,10,1.1,5,5,10,170,2,34,10,10,10,10,10,10,60,14.8029293,74.1287169
626,TN-803821-001,"8.8714972, 78.152593",Tamil Nadu,28,7.8,43,5.4,4.9,88,16.9,25.13,3.9,1.2,9.06,32,36,16.6,13,4,11,170,170,2,10,10,0,0,10,10,40,8.8714972,78.152593
627,MH-802765-001,"19.8374187, 75.2883503",Maharashtra,161,70,5,26,9,16,78,24.1,1.4,1.9,3.47,4.6,10.5,1,2,7,10,490,1600,79,10,10,0,10,10,10,50,19.8374187,75.2883503
628,MH-802765-002,"19.8533668, 75.4178967",Maharashtra,35,10,16,24,10.09,47.3,77.1,28.11,1.5,1.3,4.89,4.2,6.35,1,6,8,10,140,350,1.8,10,10,0,10,10,10,50,19.8533668,75.4178967
629,MH-802776-002,"20.0006708, 73.8162983",Maharashtra,52,51.34,8,27,11,26.9,84,39.22,1.1,1.3,1.57,3.3,6.1,11.49,5,18,85,5420,16000,1600,10,10,0,0,0,0,20,20.0006708,73.8162983
630,MH-802776-001,"19.9981666666666, 73.8176666666666",Maharashtra,78,78,12,28,6.5,36.7,86,19.61,1,1.8,1.61,3.8,4.2,4.6,4,20,55,34800,16000,900,10,10,0,10,0,0,30,19.99816667,73.81766667
631,MH-802737-001,"19.154646, 77.346316",Maharashtra,87,50,15,32,2.5,45.5,92.7,8,1.2,2.7,2.33,5,13.6,1,4,10,28,2,70,17,10,10,0,10,0,10,40,19.154646,77.346316
632,MH-802785-001,"19.4514478, 72.8007258",Maharashtra,30,30,18,83.6,5.2,56.3,28,16,1.2,2.1,8.03,4.8,10.8,5.14,13,5,18,5420,16000,110,10,10,0,10,10,10,50,19.4514478,72.8007258
633,KA-803137-001,"13.9415716, 75.5959909",Karnataka,35.58,0,8.4,2,7.4,43,5,36.07,0.11,1.41,1,5.2,6.97,8.2,16,5,13,30,2,2,10,10,10,10,10,10,60,13.9415716,75.5959909
634,KA-803105-001,"14.6873365, 75.4710668",Karnataka,5,5,8,2,6.8,24.6,5,33.5,1.341,1,1.5,22.64,7.52,7.6,5,5,22,92,2,2,10,10,0,10,10,10,50,14.6873365,75.4710668
635,KA-803060-001,"17.868842, 77.526515",Karnataka,17.26,17.26,75,4.2,2,164,20.08,10,6.3,1,0.95,52,6.47,10.26,55,15,2.5,220,2,2,10,10,10,10,10,10,60,17.868842,77.526515
636,KA-803120-003,"14.2391074, 76.4080377",Karnataka,20,20,12,2,8.2,37.4,8.03,40.92,6.75,1.3,6.5,42.44,4.37,16.9,5,7,11,,2,2,10,10,0,0,10,10,40,14.2391074,76.4080377
637,KA-803060-003,"17.9218345, 77.509256",Karnataka,17.26,0,70,2,4.42,152,12.05,16.2,1.9,1,2.3,45,7.44,20.8,49,10,10,140,7,43,10,10,0,0,10,10,40,17.9218345,77.509256
638,KA-803060-002,"17.931311, 77.46889",Karnataka,7,0,72,2,10,160,8.03,40,5.9,1,1.55,48,3.58,11,52,6,2.1,170,2,2,10,10,0,10,10,10,50,17.931311,77.46889
639,KA-803142-001,"13.2121,74.9859",Karnataka,3,3,6,2,5.6,20,8.03,20.94,4,1.96,1,2,4.62,11.4,14,6,25,300,14,5,10,10,10,0,0,10,40,13.2121,74.9859
640,KA-803162-025,"13.0438065, 77.4906524",KARNATAKA,20,,28,20,13,100,80,72.07,0.44,0.25,0.82,56.8,40.7,4.8,40,58,19,300,240,2,0,0,10,10,10,10,40,13.0438065,77.4906524
641,KA-803162-020,"13.04402, 77.66332",KARNATAKA,20,,4.4,4.8,7.6,22,26,32.03,2,1.8,2.92,20.7,6.6,7.2,4,3,10,2,2,5,10,10,0,10,10,10,50,13.04402,77.66332
642,KA-803162-004,"13.0431729, 77.6040396",Karnataka,100,100,16,7.4,17.4,45.76,30,97.44,2.08,1.9,40.76,121.66,8.4,8.4,5,5,8,1,2,2,0,0,0,10,10,10,30,13.0431729,77.6040396
643,KA-803162-023,"12.9158632, 77.4899254",KARNATAKA,60,,4.4,140,3.3,24,1205,12.56,1.3,2,1.09,5.2,6.7,12.5,2,5,5,2,500,11,10,10,10,0,10,10,50,12.9158632,77.4899254
644,KA-803162-008,"12.9403642, 77.6549511",Karnataka,60,60,18,3.6,6.4,108,16,25.13,1.84,3.1,0.5,14.2,9.6,2.05,26,3,12,110,2,7,10,10,10,10,10,10,60,12.9403642,77.6549511
645,PB-800202-001,"30.8058682, 75.1562531",Punjab,27,27,5,32,3.5,26,105.6,15,0.05,0.1,0.98,0.1,16.8,1,5,8,5,9200,40,8,10,10,10,10,10,10,60,30.8058682,75.1562531
646,CG-801991-001,"21.0674523, 81.0620362",Chhattisgarh,6.2,6.2,19,21,26,95.2,49,80,6.2,3.8,1.4,12.1,14,11.6,8,54,46,140,46,50,0,0,0,0,0,10,10,21.0674523,81.0620362
647,CG-802034-003,"21.34621, 81.635482",Chhattisgarh,90,90,4.1,11,15,20,27,35,0.16,1.2,1.5,0.56,6.3,23,4,16,38,1.8,11,55,0,10,0,0,0,10,20,21.34621,81.635482
648,CG-802052-001,"20.7200,81.5231",Chhattisgarh,19.6,19.6,20,41,14,97.6,90,40,6.8,2.8,0.4,13.9,14,3.2,9,35,12,130,13,25,0,10,10,10,10,10,50,20.72,81.5231
649,KL-803259-002,"11.8787662, 75.359522",Kerala,1,0,126,20,3.4,280,80,16.03,1.5,0.6,0.5,35,36,1.7,282,21,5,170,84,7,10,10,10,10,10,10,60,11.8787662,75.359522
650,KL-803278-002,"10.5810181, 76.0404601",Kerala,3,0,104,28,6.2,224,72,28.1,1.6,0.3,0.62,43,46,28.8,88,8,4.2,130,84,70,10,10,10,0,10,10,50,10.5810181,76.0404601
651,KL-803288-001,"9.9708494, 76.305785",Kerala,5,4.55,50,16,3.8,104,68,16.2,1.6,0.2,0.38,46,37,18.1,38,21,1,430,110,63,10,10,10,0,10,10,50,9.9708494,76.305785
652,KL-803312-001,"8.4584125, 76.9382349",Kerala,107,107,45,16,8.2,96,64,40,0.9,0.6,0.86,36,32,36.2,32,23,1,280,94,84,10,10,10,0,10,10,50,8.4584125,76.9382349
653,TS-802918-015,"17.482582, 78.4238156",Telangana,12,12,60,24,22,148,164,72,0.72,0.5,0.5,76,34,42,45,24,8,350,110,152,0,0,10,0,10,10,30,17.482582,78.4238156
654,TS-802918-026,"17.3975617, 78.5766301",Telangana,86.5,55,60,12,9,144,60,20,2.4,0.7,0.6,82,28,26,60,22,7,350,120,142,10,10,10,0,10,10,50,17.3975617,78.5766301
655,TS-802918-031,"17.4548318, 78.4531546",Telangana,133,70,49,30,11,112,84,36,0.95,0.3,0.9,50,33,32,30,21,7,540,110,194,10,10,10,0,10,10,50,17.4548318,78.4531546
656,UP-800665-001,"29.3737829, 78.1041763",Uttar Pradesh,24,23,14,3.8,2,70,22,8.5,0.05,0.05,0.62,0.1,2.8,1,5,5,5,1.8,1.8,6,10,10,10,10,10,10,60,29.3737829,78.1041763
657,UP-800716-001,"28.9397285, 77.7570358",Uttar Pradesh,72,72,4,3,11,20,17,30,0.05,0.05,1.4,0.1,1.26,8.1,5,5,10,28000,9200,40,10,10,0,10,10,10,50,28.9397285,77.7570358
658,UP-800737-001,"28.7118621, 77.7712973",Uttar Pradesh,30,7.2,7,5.8,15,30,36,12,0.05,0.05,0.35,0.1,1.98,1,5,5,22,110,540,9,0,10,10,10,10,10,50,28.7118621,77.7712973
659,UP-801160-003,"26.7126469, 83.4087255",Uttar Pradesh,30,30,6,7,7.5,28,42,27,0.05,0.05,0.35,1,2.32,6.75,5,5,17,170,1.8,18,10,10,10,10,10,10,60,26.7126469,83.4087255
660,UP-801160-005,"26.7767217, 83.3457817",Uttar Pradesh,10,0,6,3.2,3.5,30,19,12,0.05,0.05,0.42,0.1,2.64,1,5,5,18,540,2200,12,10,10,10,10,10,10,60,26.7767217,83.3457817
661,UP-801235-003,"25.3881909, 82.997269",Uttar Pradesh,120,0,2,2.4,7.3,12,13,20,0.05,0.05,0.22,0.1,0.86,9.8,5,5,14,1.8,1.8,30,10,10,10,10,10,10,60,25.3881909,82.997269
662,WB-801716-001,"22.606669, 88.4208181",West Bengal,27,27,51,43,15.4,108,97,57.6,1.9,4.6,0.54,28.2,18,9.24,19,28,17,39,5792,10,0,0,10,10,10,10,40,22.606669,88.4208181
663,KA-803067-002,"16.1802073, 77.3312026",Karnataka,8,4.9,7,12.5,5.64,42,52.21,20.2,0.05,2.06,0.56,0.1,18.31,2.02,5,23,10,1000,2,40,10,10,10,10,10,10,60,16.1802073,77.3312026
664,KA-803023-001,"16.454937, 74.5732019",Karnataka,5.8,0,39,8.6,6.18,104,36.14,16,1,1,0.23,3,11.53,0.98,115,15,10,2,2,38,10,10,10,10,10,10,60,16.454937,74.5732019
665,PB-800149-002,"31.7904127, 75.167314",Punjab,30,30,3,36,3.7,18,123.2,10,0.05,0.1,0.1,0.1,19.4,2.2,5,22,1,350,175,15,10,10,10,10,10,10,60,31.7904127,75.167314
666,CG-801939-001,"21.8793091, 83.402057",Chhattisgarh,25,25,21,17,22.5,64.6,39,90,4.2,1.2,4.64,59.6,1.4,16.24,7,22,42,170,2088,80,0,0,0,0,0,10,10,21.8793091,83.402057
667,CG-801939-002,"21.8727193, 83.4183413",Chhattisgarh,7,7,18,21,14,94.7,49,60,5.9,0.5,2.6,11.7,6.1,12.62,7,56,18,140,27,45,0,0,0,0,10,10,20,21.8727193,83.4183413
668,CG-802064-001,"19.1369269, 82.0151227",Chhattisgarh,25,25,17,9,7.2,101.6,20,20,1.4,1.5,0.3,32.8,12,5.6,80,78,22,220,6478,55,10,10,10,10,10,10,60,19.1369269,82.0151227
669,OD-801819-002,"22.2142281, 84.8062956",Odisha,40,0,26,24,2.2,56,58,7.2,0.48,1.6,0.5,9.79,9.7,4.25,13,37,1.8,110,79,10,10,10,10,10,10,10,60,22.2142281,84.8062956
670,OD-801813-002,"21.4319489, 83.9889853",Odisha,40,9,22,13,2.3,47,29,8.15,0.63,0.7,0.5,9.8,5,3.9,18,48,2.1,140,2912,13,10,10,10,10,10,10,60,21.4319489,83.9889853
671,TS-802918-028,"17.3866533, 78.5780817",Telangana,320,100,64,12,8,148,52,32,0.7,0.4,0.9,65,34,15,26,15,4,210,84,218,10,10,10,0,10,10,50,17.3866533,78.5780817
672,TS-802927-001,"17.1357885, 79.6267778",Telangana,10,5,76,20,5,184,96,20,2.58,0.2,1.1,54,41,9.5,9,10,1.9,240,110,2,10,10,10,10,10,10,60,17.1357885,79.6267778
673,GJ-802629-026,"21.2209168, 72.7653501",Gujarat,200,135,7.7,2.75,1,21.04,8.8,7.56,6.8,0.1,0.761,9.76,5,2,6,10,2,2,2,34,10,10,10,10,10,10,60,21.2209168,72.7653501
674,KA-803109-001,"15.2992472, 76.3865044",Karnataka,27,27,72,2,13,160,12.05,47.6,1.9,1.45,1.2,36,5.85,22.6,64,18,10,140,2,79,0,10,0,0,10,10,30,15.2992472,76.3865044
675,RJ-800481-001,"28.2487438, 75.6429834",Rajasthan,3,2.3,15.23,5,29,62.51,50,120,4.1,0.95,1.2,58.4,1,16.4,7.2,6,18,45,20,60,0,0,0,0,10,10,20,28.2487438,75.6429834
676,RJ-800498-002,"27.2050344, 77.5472916",Rajasthan,5,4,18.12,2,3,65.3,40,9,6.6,0.52,0.21,60.2,1,1,7.9,3,12,285,70,4,10,10,10,10,10,10,60,27.2050344,77.5472916
677,RJ-800481-002,"28.2638807, 75.6413422",Rajasthan,2,1,15.12,4,45,60.3,40,180,3.6,0.52,1.8,58.2,1,20.4,7.8,3,16,215,13,85,0,0,0,0,10,10,20,28.2638807,75.6413422
678,RJ-800460-003,"27.9748021, 73.2827341",Rajasthan,20,13,12,3,28,60,40,90,0.05,0.65,0.6,0.1,1.9,4.4,5,4,12,1700,33,45,0,0,10,10,10,10,40,27.9748021,73.2827341
679,RJ-800476-001,"28.1434792, 75.4171739",Rajasthan,7,7,20.54,2,7.3,61.41,20,20,6.72,0.62,0.3,60.18,0.1,1.8,6.48,3,2,310,39,25,10,10,10,10,10,10,60,28.1434792,75.4171739
680,RJ-800498-003,"27.2051939, 77.5473496",Rajasthan,8,6,19.42,2,5,61.34,20,17,5.65,0.62,0.38,56.22,1,1,6.55,6,16,287,170,5,10,10,10,10,10,10,60,27.2051939,77.5473496
681,UP-801160-001,"26.7330764, 83.4180144",Uttar Pradesh,15,15,5,3.6,4,25,19,18,0.05,0.05,0.22,0.1,1.38,3,5,5,15,9200,79,6,10,10,10,10,10,10,60,26.7330764,83.4180144
682,MP-802200-001,"24.4540723, 74.8958289",Madhya Pradesh,9.5,5,7.5,5.4,22.8,21.04,32,190,0.7,0.05,2.45,13.81,2.22,10.64,8,5,14,2,700,278,0,0,0,10,10,0,20,24.4540723,74.8958289
683,UP-800652-001,"29.4507253, 77.6876033",Uttar Pradesh,32.5,32.5,8,6.4,27,40,38,100,0.05,0.05,1.2,0.1,2.8,5.3,5,5,38,35000,1.8,50,0,0,0,10,0,10,20,29.4507253,77.6876033
684,UP-800736-002,"28.7067576, 77.6635553",Uttar Pradesh,3,3,12,4.4,7.9,60,26,32,0.05,0.05,0.31,0.1,1.96,1,5,5,17,1700,920,35,10,10,10,10,10,10,60,28.7067576,77.6635553
685,MP-802159-003,"23.86388, 78.6815533",Madhya Pradesh,43,26,1.4,3.8,3.8,9.2,22,10,5.49,0.05,0.2,9.5,1.3,4.9,11,5,1,2,540,30,10,10,10,10,10,10,60,23.86388,78.6815533
686,RJ-900600-002,"26.7943905, 75.841177",Rajasthan,62.5,62.5,4,10,3,20,100,15.5,0.05,1.9,0.52,0.1,2,3.5,5,2,17,14000,130,10,10,10,10,10,10,10,60,26.7943905,75.841177
