S. No.,UWTP ID,Lat Long,State ,Design capacity (MLD),Operational capacity (MLD),BOD_P1(mg/L),BOD_P2(mg/L),BOD_P3(mg/L),COD_P1(mg/L),COD_P2(mg/L),COD_P3(mg/L),TP_P1(mg/L),TP_P2(mg/L),TP_P3(mg/L),TN_P1(mg/L),TN_P2(mg/L),TN_p3(mg/L),TSS_P1(mg/L),TSS_P2(mg/L),TSS_P3(mg/L),FC_P1(MPN/100ml),FC_P2(MPN/100ml),FC_P3(MPN/100ml),BOD SCORE (11 mg/L),COD SCORE    (55 mg/L),TP SCORE        (1.1 mg/L),TN SCORE           (11 mg/L),TSS SCORE   (22 mg/L),FC SCORE    (253 MPN/100 mL),TOTAL SCORE  (MAX. 60),Latitude,Longitude
389,KA-803127-002,"14.4535439, 75.9472312",Karnataka,5,5,12,11.5,2.7,33.28,37,12.56,1.775,0.94,1,11.32,59,8.5,6,4.8,5,40,110,2,10,10,10,10,10,10,60,14.4535439,75.9472312
390,JK-800013-021,"34.0842978, 74.8161521",Jammu And Kashmir,17.08,17.08,14,12,18,74,70,50,0.05,0.05,1.7,1,2,10.6,5.4,7.2,42,5400,9200,45,0,10,0,10,0,10,30,34.0842978,74.8161521
391,HP-800137-004,"31.107331, 77.1303603",Himachal Pradesh,3.93,0.7,10,9.4,2,50,60,8.5,0.05,0.05,0.88,1,6.3,1,5,20,6,3500,2800,10,10,10,10,10,10,10,60,31.107331,77.1303603
392,AP-802947-029,"17.826634, 83.368841",Andhra Pradesh,2,1.4,75,34,25,160,100,110,2.7,17.8,13.6,45,76.4,19.8,84,36.8,57.5,240,1600,2,0,0,0,0,0,10,10,17.826634,83.368841
393,AP-802947-003,"17.8098265, 83.3323456",Andhra Pradesh,1,0.5,72,46,10,156,130,50,3.1,21.22,13.9,37,130.3,2.8,56,82.5,24.7,170,1600,2,10,10,0,10,0,10,40,17.8098265,83.3323456
394,UP-800734-10,"28.6519841, 77.3770138",Uttar Pradesh,56,56,16,18,25,80,120,80,0.05,0.05,0.6,0.1,3.2,5.1,5,12,22,1.8,280,40,0,0,10,10,10,10,40,28.6519841,77.3770138
395,WB-801694-001,"22.8939643, 88.4002399",West Bengal,11.56,11.56,33,25,15,71,56,48,0.78,2.4,0.52,13,11,13.16,13,21,24,2355,16645,10,0,10,10,0,0,10,30,22.8939643,88.4002399
396,OD-801859-011,"20.2359484, 85.8572893",Odisha,28,16,21,13,4.5,47,28,13.2,0.45,1.6,1.56,26.8,5.2,7.1,22,20,6,94,14706,19,10,10,0,10,10,10,50,20.2359484,85.8572893
397,UK-800295-004,"30.2617773, 79.217051",Uttarakhand,0.05,0.032,20,8.2,26,100,48,80,0.05,0.05,0.9,0.1,3.2,5.6,5.2,6.8,8,22000,1.8,55,0,0,10,10,10,10,40,30.2617773,79.217051
398,UK-800295-002,"30.261271, 79.217090",Uttarakhand,0.1,0.061,2,5.8,22,10,60,60,0.05,0.05,0.6,0.1,2.4,1.6,5,5,42,35000,1.8,30,0,0,10,10,0,10,30,30.261271,79.21709
399,KA-803114-003,"15.1839782, 76.9190203",Karnataka,2,1.7,55,17,41.7,148,88.79,150,3,2.18,3.08,72,11.25,51,139,35,63,110,94,48,0,0,0,0,0,10,10,15.1839782,76.9190203
400,MP-802200-002,"24.4539143, 74.8746526",Madhya Pradesh,7,3.5,13.5,5.4,21,52.6,31,180,5.6,0.05,4.08,5.25,1.18,7.56,11,5,24,6,130,258,0,0,0,10,0,0,10,24.4539143,74.8746526
401,MH-802856-006,"17.6176394, 75.9283601",Maharashtra,25,7,17,8,2.6,51.3,24,8,1.4,1,1.41,4.6,2.9,1.96,9,1,10,348,41,1.8,10,10,0,10,10,10,50,17.6176394,75.9283601
402,MH-802737-003,"19.205826, 77.3455433",Maharashtra,15,12,16,29,7.5,49.7,85.6,24,1.5,2.4,9.74,4.4,12.4,1.03,6,13,10,5420,1600,1.8,10,10,0,10,10,10,50,19.205826,77.3455433
403,MH-802856-005,"17.608583, 75.866553",Maharashtra,30,9,18,21,13.5,53,67.1,40,1.3,2.1,1,5.5,7.8,5.43,11,5,10,348,140,1.8,0,10,10,10,10,10,50,17.608583,75.866553
404,DD-802638-001,"20.4071119, 72.8378425",Dadra And Nagar Haveli And Daman And Diu,4.21,0,5,23,3.41,10,69,14.7,1,1.8,1.34,3.1,8.7,4.29,3,7,29,1090,1600,63,10,10,0,10,0,10,40,20.4071119,72.8378425
405,MH-802856-004,"17.6638536, 75.8564815",Maharashtra,150,49,13,10,8.1,40.6,30.2,24,1,1.1,1.05,2.8,2.8,6,2,1,10,130,1.8,1.8,10,10,10,10,10,10,60,17.6638536,75.8564815
406,MH-802855-001,"18.2318688, 75.6973493",Maharashtra,18.5,18.5,5,9,2.6,10,27.7,8,1,1,4.29,2.7,2.9,8.28,1,2,10,2,130,1.8,10,10,0,10,10,10,50,18.2318688,75.6973493
407,MH-802787-005,"19.2136152, 72.9837034",Maharashtra,22.2,20,4.8,16.3,5,10.7,65,9.09,2.34,1.69,0.5,4.8,5.96,4.6,7.7,32,120,1600,120,1600,10,10,10,10,0,0,40,19.2136152,72.9837034
408,MH-802793-002,"19.2178075, 73.1690721",Maharashtra,45,23,54,23.46,19.5,162.3,95,78.43,3.5,4.17,0.71,17.8,6.29,33.33,39,58,75,110,63,170,0,0,10,0,0,10,20,19.2178075,73.1690721
409,KA-803193-005,"12.4472, 76.3932",Karnataka,0.25,0,1,2,6.8,2,7.98,24,1,1.07,0.5,2,8.04,1,5,6,13,90,2,2,10,10,10,10,10,10,60,12.4472,76.3932
410,KA-803193-004,"12.4313669, 76.3848579",Karnataka,0.15,0,7,2,2,20,5,8,2,1.56,1.77,1,8.46,1.69,5,5,17,140,2,2,10,10,0,10,10,10,50,12.4313669,76.3848579
411,RJ-800487-002,"28.2057995, 76.8167309",Rajasthan,1.5,1.5,15.12,15,6,60.32,68,3,4.45,2.42,0.21,57.23,19.8,1,6.18,12,14,205,380,5,10,10,10,10,10,10,60,28.2057995,76.8167309
412,RJ-800487-001,"28.1954375, 76.8508619",Rajasthan,3,2.5,19.54,9,2.2,61.76,50,10,5.35,2.1,0.05,56.33,14.2,1,6.72,8,19,210,298,8,10,10,10,10,10,10,60,28.1954375,76.8508619
413,RJ-800487-009,"28.207992, 76.8288051",Rajasthan,4,4,19.77,10,85,61.87,52,220,5.65,2.23,4.8,56.56,14.2,6.8,6.48,10,29,225,285,120,0,0,0,10,0,10,20,28.207992,76.8288051
414,RJ-800487-004,"28.1877235, 76.8870263",Rajasthan,2,0.8,19.54,12,7,61.75,58,16,5.45,2.69,0.52,56.33,16.2,5.5,6.65,11,20,225.36,415,10,10,10,10,10,10,10,60,28.1877235,76.8870263
415,RJ-800487-005,"28.2071882, 76.8284355",Rajasthan,3,0,6,12,3,32,58,14,0.05,2.69,0.05,1,16.2,1,5,11,22,35000,275,5,10,10,10,10,10,10,60,28.2071882,76.8284355
416,RJ-800468-002,"28.2957928, 74.9687956",Rajasthan,2.5,1.5,17.12,4,1,60.3,40,4,4.22,0.68,0.05,52.2,1,1,6.65,3,5,485,8,3,10,10,10,10,10,10,60,28.2957928,74.9687956
417,RJ-800568-002,"26.5771949, 74.8980266",Rajasthan,10,7,14.02,2.4,7.1,56.98,40,20,2.23,0.98,0.2,26.61,2,2.6,13.14,8,2,345.9,18,10,10,10,10,10,10,10,60,26.5771949,74.8980266
418,RJ-800569-002,"26.4829722, 74.5388011",Rajasthan,3.5,3.5,18,6,12,66.81,40,30,4.08,6.95,0.22,28.2,1.9,2.9,16.85,8,4,407.22,4,15,0,10,10,10,10,10,50,26.4829722,74.5388011
419,RJ-800468-003,"28.2840714, 74.9690235",Rajasthan,1,1,14.42,10,1,60.32,60,4,3.65,0.65,0.05,58.28,1.6,1,6.47,4,5,321,26,3,10,10,10,10,10,10,60,28.2840714,74.9690235
420,RJ-800570-002,"26.4760229, 74.6134092",Rajasthan,13,12.5,10,6,3.8,50,30,10,0.05,0.95,0.3,1,1.9,1.8,5,8,2,9200,6.8,15,10,10,10,10,10,10,60,26.4760229,74.6134092
